index,video_id,title,uploader,status,transcript_lines,transcript_chars,canonical_url,input_url,markdown_file
"1","wn38s71oPjg","How to Structure the Core 30","bigCRM- Small Business Growth Interviews","ok","139","6296","https://www.youtube.com/watch?v=wn38s71oPjg","https://youtu.be/wn38s71oPjg?si=V4kvmKNWD4vN7Az1","01_How_to_Structure_the_Core_30_wn38s71oPjg.md"
"2","KNuFGnFPGs8","Core 30 Content Audit","bigCRM- Small Business Growth Interviews","ok","102","4477","https://www.youtube.com/watch?v=KNuFGnFPGs8","https://youtu.be/KNuFGnFPGs8?si=5nd5dmweuUWkdJCh","02_Core_30_Content_Audit_KNuFGnFPGs8.md"
"3","DiNCUIyfkxg","Structure for Multiple Locations","bigCRM- Small Business Growth Interviews","ok","126","5719","https://www.youtube.com/watch?v=DiNCUIyfkxg","https://youtu.be/DiNCUIyfkxg?si=BqrKlEUPh5XNZ33u","03_Structure_for_Multiple_Locations_DiNCUIyfkxg.md"
"4","J92VCBgvgYA","Building More Topical Relevance","bigCRM- Small Business Growth Interviews","ok","133","5946","https://www.youtube.com/watch?v=J92VCBgvgYA","https://youtu.be/J92VCBgvgYA?si=A3uCe6QsKsSSe_DQ","04_Building_More_Topical_Relevance_J92VCBgvgYA.md"
"5","xYz2EjfL0eI","Building More Geographical Relevance","bigCRM- Small Business Growth Interviews","ok","123","5611","https://www.youtube.com/watch?v=xYz2EjfL0eI","https://youtu.be/xYz2EjfL0eI?si=NzAJQl8hMH1GLhnY","05_Building_More_Geographical_Relevance_xYz2EjfL0eI.md"
"6","F8gAY4Y4ykQ","Creating an ""About"" Page","bigCRM- Small Business Growth Interviews","ok","72","3230","https://www.youtube.com/watch?v=F8gAY4Y4ykQ","https://youtu.be/F8gAY4Y4ykQ?si=LoUnosWuwDGH74lX","06_Creating_an_About_Page_F8gAY4Y4ykQ.md"
"7","2Z2LYbYAxRQ","Local Business Schema","bigCRM- Small Business Growth Interviews","ok","79","3557","https://www.youtube.com/watch?v=2Z2LYbYAxRQ","https://youtu.be/2Z2LYbYAxRQ?si=eWyQtKgxXi2zoOML","07_Local_Business_Schema_2Z2LYbYAxRQ.md"
"8","wXn0DIUr06g","Technical Audit","bigCRM- Small Business Growth Interviews","ok","130","5762","https://www.youtube.com/watch?v=wXn0DIUr06g","https://youtu.be/wXn0DIUr06g?si=D9J2u-qMbRCqKSsh","08_Technical_Audit_wXn0DIUr06g.md"
"9","UwpUQwMA1Ak","How ChatGPT Makes Recommendations","bigCRM- Small Business Growth Interviews","ok","104","4648","https://www.youtube.com/watch?v=UwpUQwMA1Ak","https://youtu.be/UwpUQwMA1Ak?si=NyjDKRQWQGOokPjl","09_How_ChatGPT_Makes_Recommendations_UwpUQwMA1Ak.md"
"10","CyP_bKVaQbM","Re Themeing a GBP Category","bigCRM- Small Business Growth Interviews","ok","97","4425","https://www.youtube.com/watch?v=CyP_bKVaQbM","https://youtu.be/CyP_bKVaQbM?si=-sky7Bb8OQ32X4fq","10_Re_Themeing_a_GBP_Category_CyP_bKVaQbM.md"
"11","DuBY3yinV_g","Internal Anchor Text Guidelines","bigCRM- Small Business Growth Interviews","ok","67","3022","https://www.youtube.com/watch?v=DuBY3yinV_g","https://youtu.be/DuBY3yinV_g?si=rf1P2ifQp5-fQ-Xq","11_Internal_Anchor_Text_Guidelines_DuBY3yinV_g.md"
