index,video_id,requested_title,status,mode_detected,chars,input_url,file
1,iIFKkd5Mvjk,2025-11-04 Rank Maps vs Keywords,ok,summary_or_notes,4165,https://youtu.be/iIFKkd5Mvjk?si=bLHMOO--OsCaI3BA,01_iIFKkd5Mvjk.md
2,puyxCM-G1nE,2025-10-28 GMB Categories & Client Management,ok,summary_or_notes,4518,https://youtu.be/puyxCM-G1nE?si=6L3dmjvPBesbvwNx,02_puyxCM-G1nE.md
3,5PAD9BtyTew,2024-10-21 GBP Categories & AI Overview,ok,summary_or_notes,3264,https://youtu.be/5PAD9BtyTew?si=jhUpz172kCqofqWg,03_5PAD9BtyTew.md
4,Vyj4GaCvaQU,"2025-10-07 Rank Maps, Content Strategy, GBPs",ok,summary_or_notes,3905,https://youtu.be/Vyj4GaCvaQU?si=7TT_-urXxqED2ETq,04_Vyj4GaCvaQU.md
5,NwssK77hGe4,2025-09-30 Content Production & Pricing,ok,summary_or_notes,5197,https://youtu.be/NwssK77hGe4?si=Xm52y2PKPOTXiXrp,05_NwssK77hGe4.md
6,lOOT6i43ZxM,2025-09-23 Internal Linking & GBP Optimization,ok,summary_or_notes,4271,https://youtu.be/lOOT6i43ZxM?si=HsbFCGwr6QV-Vq3n,06_lOOT6i43ZxM.md
7,co8iPnMKgWU,2025-09-16 Facebook Ads SEO Local Ranking,ok,summary_or_notes,4133,https://youtu.be/co8iPnMKgWU?si=7WkpM3t9STL7lTo5,07_co8iPnMKgWU.md
8,HtcXItcvnBA,"2025-09-09 GBP Categories, Linking, Content AI",ok,summary_or_notes,4472,https://youtu.be/HtcXItcvnBA?si=nYbhRAyr-GvZ_xYF,08_HtcXItcvnBA.md
9,huNDhM7afqc,2025-08-26 Local SEO PBNs Core 30 GBP Tips,ok,summary_or_notes,3972,https://youtu.be/huNDhM7afqc?si=q4TF5zu7NjYwbd17,09_huNDhM7afqc.md
10,S78rQnpM1PQ,2025-08-07 AI SEO & LLM Landing Pages,ok,summary_or_notes,4182,https://youtu.be/S78rQnpM1PQ?si=TMpZyzaGWzTdO3H1,10_S78rQnpM1PQ.md
11,0n7ZzCuF9sI,2025-08-12 AI Schema ChatGPT Citations,ok,summary_or_notes,3965,https://youtu.be/0n7ZzCuF9sI?si=-FrvwwDjhkefIAQo,11_0n7ZzCuF9sI.md
